,Product_name_Flipkart,Flipkart_price,Product_name_Amazon,Amazon_price
1,"LG Front Load Washing Machine (8kg, 5 Star)","37,990","LG Front Load Washing Machine (8kg, 5 Star)","41,990"
2,"Samsung Front Load Washing Machine (6.5kg, 5 Star)","32,990","Samsung Front Load Washing Machine (6.5kg, 5 Star)","35,990"
3,"IFB Fully Automatic Washing Machine (6kg, 5 Star)","33,990","IFB Fully Automatic Washing Machine (6kg, 5 Star)","36,990"
4,"Voltas Beko Top Load Washing Machine (7kg)","28,990","Voltas Beko Top Load Washing Machine (7kg)","30,990"
5,"Whirlpool Top Load Washing Machine (7kg)","31,990","Whirlpool Top Load Washing Machine (7kg)","34,990"
6,"Godrej Top Load Washing Machine (6.5kg)","25,990","Godrej Top Load Washing Machine (6.5kg)","27,990"
7,"Panasonic Front Load Washing Machine (8kg)","39,990","Panasonic Front Load Washing Machine (8kg)","42,990"
8,"Lloyd Front Load Washing Machine (7kg)","34,990","Lloyd Front Load Washing Machine (7kg)","36,990"
9,"Samsung 6.5 kg Fully Automatic Top Load Washing Machine","29,490","Samsung 6.5 kg Fully Automatic Top Load Washing Machine","31,490"
10,"LG 6.2 kg Top Load Washing Machine (Smart Inverter)","24,990","LG 6.2 kg Top Load Washing Machine (Smart Inverter)","26,990"
11,"Bosch 6.5 kg Fully Automatic Front Load Washing Machine","36,990","Bosch 6.5 kg Fully Automatic Front Load Washing Machine","38,990"
12,"Samsung 8 kg Front Load Washing Machine (Smart Control)","45,990","Samsung 8 kg Front Load Washing Machine (Smart Control)","48,990"
13,"Whirlpool 6.5 kg Semi-Automatic Washing Machine","18,990","Whirlpool 6.5 kg Semi-Automatic Washing Machine","20,990"
14,"Havells Fully Automatic Washing Machine (7kg)","29,990","Havells Fully Automatic Washing Machine (7kg)","31,990"
15,"Midea 6.5 kg Top Load Washing Machine","22,990","Midea 6.5 kg Top Load Washing Machine","24,990"
16,"Lloyd 7 kg Fully Automatic Front Load Washing Machine","36,990","Lloyd 7 kg Fully Automatic Front Load Washing Machine","39,990"
17,"Croma 8 kg Fully Automatic Washing Machine","35,990","Croma 8 kg Fully Automatic Washing Machine","37,990"
18,"Voltas 7.5 kg Front Load Washing Machine","41,990","Voltas 7.5 kg Front Load Washing Machine","43,990"
19,"IIFL 6 kg Fully Automatic Top Load Washing Machine","28,990","IIFL 6 kg Fully Automatic Top Load Washing Machine","30,990"
20,"O General 7 kg Front Load Washing Machine","37,990","O General 7 kg Front Load Washing Machine","40,990"
21,"Daikin 6 kg Front Load Washing Machine","32,990","Daikin 6 kg Front Load Washing Machine","35,990"
22,"Dell Inspiron 15 Laptop (Intel i5, 8GB RAM, 512GB SSD)","54,990","Dell Inspiron 15 Laptop (Intel i5, 8GB RAM, 512GB SSD)","57,990"
23,"HP Pavilion x360 Laptop (Intel i5, 16GB RAM, 1TB HDD)","67,990","HP Pavilion x360 Laptop (Intel i5, 16GB RAM, 1TB HDD)","69,990"
24,"Lenovo IdeaPad Slim 5 Laptop (AMD Ryzen 5, 8GB RAM, 512GB SSD)","52,990","Lenovo IdeaPad Slim 5 Laptop (AMD Ryzen 5, 8GB RAM, 512GB SSD)","55,990"
25,"Acer Aspire 7 Laptop (AMD Ryzen 5, 8GB RAM, 512GB SSD)","56,990","Acer Aspire 7 Laptop (AMD Ryzen 5, 8GB RAM, 512GB SSD)","59,990"
26,"ASUS VivoBook 14 Laptop (Intel i5, 16GB RAM, 1TB HDD)","45,990","ASUS VivoBook 14 Laptop (Intel i5, 16GB RAM, 1TB HDD)","47,990"
27,"Microsoft Surface Laptop Go (Intel i5, 8GB RAM, 128GB SSD)","63,990","Microsoft Surface Laptop Go (Intel i5, 8GB RAM, 128GB SSD)","66,990"
28,"Mi Notebook Horizon Edition Laptop (Intel i5, 8GB RAM, 512GB SSD)","49,990","Mi Notebook Horizon Edition Laptop (Intel i5, 8GB RAM, 512GB SSD)","51,990"
29,"HP Omen 15 Laptop (Intel i7, 16GB RAM, 1TB HDD)","89,990","HP Omen 15 Laptop (Intel i7, 16GB RAM, 1TB HDD)","92,990"
30,"Lenovo Yoga 7i Laptop (Intel i7, 16GB RAM, 1TB SSD)","85,990","Lenovo Yoga 7i Laptop (Intel i7, 16GB RAM, 1TB SSD)","88,990"
31,"Acer Swift 3 Laptop (Intel i5, 8GB RAM, 512GB SSD)","62,990","Acer Swift 3 Laptop (Intel i5, 8GB RAM, 512GB SSD)","65,990"
32,"Dell XPS 13 Laptop (Intel i7, 16GB RAM, 512GB SSD)","1,19,990","Dell XPS 13 Laptop (Intel i7, 16GB RAM, 512GB SSD)","1,22,990"
33,"ASUS ROG Zephyrus G14 Laptop (AMD Ryzen 9, 16GB RAM, 1TB SSD)","1,49,990","ASUS ROG Zephyrus G14 Laptop (AMD Ryzen 9, 16GB RAM, 1TB SSD)","1,52,990"
34,"HP Spectre x360 Laptop (Intel i7, 16GB RAM, 1TB SSD)","1,24,990","HP Spectre x360 Laptop (Intel i7, 16GB RAM, 1TB SSD)","1,27,990"
35,"Lenovo ThinkPad X1 Carbon Laptop (Intel i7, 16GB RAM, 512GB SSD)","1,39,990","Lenovo ThinkPad X1 Carbon Laptop (Intel i7, 16GB RAM, 512GB SSD)","1,42,990"
36,"Microsoft Surface Pro 7 Laptop (Intel i5, 8GB RAM, 256GB SSD)","75,990","Microsoft Surface Pro 7 Laptop (Intel i5, 8GB RAM, 256GB SSD)","78,990"
37,"Razer Blade 15 Laptop (Intel i7, 16GB RAM, 1TB SSD)","1,99,990","Razer Blade 15 Laptop (Intel i7, 16GB RAM, 1TB SSD)","2,02,990"
38,"Honor MagicBook 14 Laptop (AMD Ryzen 5, 8GB RAM, 512GB SSD)","42,990","Honor MagicBook 14 Laptop (AMD Ryzen 5, 8GB RAM, 512GB SSD)","45,990"
39,"ASUS ZenBook 13 Laptop (Intel i5, 8GB RAM, 512GB SSD)","64,990","ASUS ZenBook 13 Laptop (Intel i5, 8GB RAM, 512GB SSD)","67,990"
40,"Dell G3 15 Laptop (Intel i5, 8GB RAM, 512GB SSD)","57,990","Dell G3 15 Laptop (Intel i5, 8GB RAM, 512GB SSD)","59,990"
